idle_rpm,max_rpm,gear,max_gears,rpm,turbo,turboMax,input_throttle,input_brake,input_clutch,input_parkingBrake,input_steeringPercent,accY,pitchPos,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,suspension_position_fl,suspension_position_fr,suspension_position_rl,suspension_position_rr
1000.0,8000.0,1,3,3021.41,-0.01,40.01,0.66,0.0,0.0,0.0,-0.01,0.03,-1.03,0.21,0.16,0.04,0.05,1.64,1.65,1.32,1.35
1000.0,8000.0,1,3,3094.88,-0.02,40.01,0.69,0.0,0.0,0.0,-0.01,0.02,-1.03,0.19,0.16,0.05,0.02,1.65,1.65,1.33,1.36
1000.0,8000.0,1,3,3161.68,-0.04,40.01,0.72,0.0,0.0,0.0,-0.01,0.02,-1.03,0.15,0.16,0.05,0.03,1.65,1.65,1.34,1.36
1000.0,8000.0,1,3,3221.84,-0.06,40.01,0.76,0.0,0.0,0.0,-0.01,0.01,-1.03,0.14,0.14,0.02,0.05,1.66,1.65,1.35,1.36
1000.0,8000.0,1,3,3275.84,-0.1,40.01,0.79,0.0,0.0,0.0,-0.01,0.01,-1.03,0.11,0.12,0.0,0.06,1.66,1.65,1.36,1.36
1000.0,8000.0,1,3,3324.13,-0.15,40.01,0.83,0.0,0.0,0.0,-0.01,0.0,-1.03,0.09,0.11,0.01,0.06,1.67,1.65,1.36,1.37
1000.0,8000.0,1,3,3367.3,-0.2,40.01,0.86,0.0,0.0,0.0,-0.01,-0.0,-1.04,0.04,0.11,0.0,0.04,1.67,1.65,1.37,1.37
1000.0,8000.0,1,3,3405.55,-0.3,40.01,0.89,0.0,0.0,0.0,-0.01,-0.01,-1.04,0.02,0.09,0.02,0.04,1.67,1.65,1.37,1.37
1000.0,8000.0,1,3,3405.55,-0.3,40.01,0.89,0.0,0.0,0.0,-0.01,-0.01,-1.04,0.0,0.09,0.03,0.05,1.67,1.65,1.37,1.37
1000.0,8000.0,1,3,3439.36,-0.34,40.01,0.92,0.0,0.0,0.0,-0.0,-0.01,-1.04,0.01,0.08,0.03,0.06,1.67,1.66,1.38,1.37
1000.0,8000.0,1,3,3469.32,-0.33,40.01,0.96,0.0,0.0,0.0,-0.0,-0.02,-1.04,0.02,0.06,0.04,0.04,1.67,1.66,1.38,1.37
1000.0,8000.0,1,3,3496.28,-0.26,40.01,0.99,0.0,0.0,0.0,-0.0,-0.02,-1.04,0.04,0.04,0.05,0.04,1.66,1.66,1.38,1.37
1000.0,8000.0,1,3,3521.12,-0.08,40.01,1.0,0.0,0.0,0.0,-0.0,-0.02,-1.04,0.07,0.04,0.06,0.03,1.66,1.66,1.38,1.37
1000.0,8000.0,1,3,3545.04,0.28,40.01,1.0,0.0,0.0,0.0,-0.0,-0.03,-1.04,0.08,0.0,0.05,0.02,1.66,1.66,1.38,1.37
1000.0,8000.0,1,3,3569.2,0.78,40.01,1.0,0.0,0.0,0.0,-0.0,-0.03,-1.04,0.11,0.0,0.06,0.01,1.66,1.66,1.39,1.37
1000.0,8000.0,1,3,3594.31,1.28,40.01,1.0,0.0,0.0,0.0,-0.0,-0.04,-1.04,0.11,0.04,0.05,0.01,1.66,1.66,1.39,1.37
1000.0,8000.0,1,3,3620.86,1.78,40.01,1.0,0.0,0.0,0.0,-0.0,-0.04,-1.04,0.13,0.07,0.06,0.0,1.66,1.66,1.39,1.37
1000.0,8000.0,1,3,3649.27,2.78,40.01,1.0,0.0,0.0,0.0,-0.0,-0.04,-1.03,0.13,0.09,0.06,0.01,1.66,1.66,1.39,1.37
1000.0,8000.0,1,3,3679.33,3.28,40.01,1.0,0.0,0.0,0.0,-0.0,-0.04,-1.03,0.14,0.11,0.05,0.04,1.66,1.65,1.39,1.37
1000.0,8000.0,1,3,3711.56,3.78,40.01,1.0,0.0,0.0,0.0,-0.0,-0.05,-1.03,0.14,0.14,0.05,0.04,1.67,1.65,1.39,1.37
1000.0,8000.0,1,3,3745.95,4.28,40.01,1.0,0.0,0.0,0.0,-0.0,-0.05,-1.03,0.15,0.16,0.05,0.06,1.67,1.65,1.39,1.37
1000.0,8000.0,1,3,3745.95,4.28,40.01,1.0,0.0,0.0,0.0,-0.0,-0.05,-1.03,0.14,0.18,0.04,0.07,1.67,1.65,1.39,1.37
1000.0,8000.0,1,3,3782.44,4.78,40.01,1.0,0.0,0.0,0.0,-0.0,-0.05,-1.02,0.16,0.19,0.04,0.07,1.66,1.65,1.39,1.37
1000.0,8000.0,1,3,3820.48,5.28,40.01,1.0,0.0,0.0,0.0,-0.0,-0.05,-1.02,0.14,0.22,0.04,0.08,1.67,1.65,1.39,1.37
